Date Last Researched,Country/Area,Project Name,Phase Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Installation Type,Status,Start year,Retired year,Operator,Operator Name in Local Language / Script,Owner,Owner Name in Local Language / Script,Hydrogen,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL
2024/02/22,Albania,Dropull wind farm,--,,,50,Onshore,announced,,,,,EU Green Energy,,,39.9406,20.2478,approximate,,,,,Southern Europe,Europe,L100000919283,G100000923766,,,https://www.gem.wiki/Dropull_wind_farm
2024/02/22,Albania,Karaburun wind farm (Albania),1,,,10,Offshore mount unknown,announced,,,,,BRD Energy,,,40.4052,19.4337,approximate,,,,,Southern Europe,Europe,L100000919286,G100000923769,,,https://www.gem.wiki/Karaburun_wind_farm_(Albania)
2024/02/22,Albania,Karaburun wind farm (Albania),2,,,10,Offshore mount unknown,announced,,,,,GMT Investment,,,40.4052,19.4337,approximate,,,,,Southern Europe,Europe,L100000919286,G100000923770,,,https://www.gem.wiki/Karaburun_wind_farm_(Albania)
2024/02/22,Albania,Karaburun wind farm (Albania),3,,,10,Offshore mount unknown,announced,,,,,GRS Energy,,,40.4052,19.4337,approximate,,,,,Southern Europe,Europe,L100000919286,G100000923771,,,https://www.gem.wiki/Karaburun_wind_farm_(Albania)
2024/02/22,Albania,Karaburun wind farm (Albania),4,,,10,Offshore mount unknown,announced,,,,,MGN Energy,,,40.4052,19.4337,approximate,,,,,Southern Europe,Europe,L100000919286,G100000923772,,,https://www.gem.wiki/Karaburun_wind_farm_(Albania)
2024/02/22,Albania,Karaburun wind farm (Albania),5,,,10,Offshore mount unknown,announced,,,,,ORT Investment,,,40.4052,19.4337,approximate,,,,,Southern Europe,Europe,L100000919286,G100000923773,,,https://www.gem.wiki/Karaburun_wind_farm_(Albania)
2024/02/28,Bosnia and Herzegovina,Glamoč wind farm,1,,,80,Onshore,announced,,,,,Wild Wind,,,44.0593,16.7704,approximate,,,,,Southern Europe,Europe,L100001003346,G100001003835,,,https://www.gem.wiki/Glamoč_wind_farm
2024/11/22,Bosnia and Herzegovina,Ivovik wind farm,--,,,84,Onshore,operating,2024,,,,VE Ivovik doo,,,43.7825,17.1302,exact,Gradina,Tomislavgrad,,,Southern Europe,Europe,L100000915565,G100000919248,,,https://www.gem.wiki/Ivovik_wind_farm
2023/03/21,Bosnia and Herzegovina,Jelovaca wind farm,--,,,36,Onshore,operating,2019,,,,FL Wind,,,43.7509,17.1452,exact,,,Herzeg-Bosnia Canton,Federation of Bosnia and Herzegovina,Southern Europe,Europe,L100000913891,G100000917247,,,https://www.gem.wiki/Jelovaca_wind_farm
2025/01/02,Bosnia and Herzegovina,Mesihovina wind farm,--,,,51,Onshore,operating,2018,,Elektroprivreda HZHB Mostar,,Elektroprivreda HZHB Mostar dd,,,43.6142,17.2328,exact,Mesihovina,,,Federation of Bosnia and Herzegovina,Southern Europe,Europe,L100000915104,G100000918702,,,https://www.gem.wiki/Mesihovina_wind_farm
